created_at_timestamp,lang,sha1_id_status,sha1_id_user,statuses_count,favourites_count,followers_count,created_at,friends_count
2022-05-19 20:43:24.000000 UTC,it,q/kNzXJhR70CjChKSwAiR1fzzpU=,7nF9oeHKJjOt+hYEtSFuklm8n2g=,51749,250710,3807,Mon Jan 14 21:07:02 +0000 2013,2099
2022-05-19 20:43:28.000000 UTC,it,Lcb87ijAOqgz7nU0Q6wHtKe9JnE=,pBoaNvPcGcUnvzFq/PECuBO2XfA=,190164,296203,1889,Thu Mar 28 08:14:07 +0000 2019,1544
2022-05-19 20:43:28.000000 UTC,it,ur7QD4wnDe5QUzi7JoZulxRDuAo=,wPAAWYSZOf5Wxk3j6EqXkyPX1iU=,176544,51466,2427,Sat Feb 08 07:42:36 +0000 2014,224
2022-05-19 20:43:31.000000 UTC,it,PLfXlgbCdDbEwLYT7UR6Ub8DW9A=,ZKBKLGgZvwsYQmi3e4nXfkfztvs=,236768,468967,486,Sat Dec 12 11:01:33 +0000 2015,8
2022-05-19 20:43:31.000000 UTC,it,BMaqzrkY6AYaRp6nk4/tPMQYQE8=,/8ntC7uvz8zIsXdwU+TPyvmYDXI=,574567,42,284,Sun Jan 06 04:31:28 +0000 2019,11
2022-05-19 20:43:35.000000 UTC,it,tcgfjRyFZ0TgeYXPb4EnnKAx0uU=,NPsha3UoSrhQa4vACc/hnpdV6Eg=,171119,47171,2084,Fri Mar 23 23:58:21 +0000 2012,4969
2022-05-19 20:43:38.000000 UTC,it,LYhL70CdzXb3u5RuDegy1alm5Mo=,yh4SAKhq3VodERXKdhIuuDP0fck=,23702,16965,161,Mon Sep 17 14:59:24 +0000 2018,49
2022-05-19 20:43:47.000000 UTC,it,2hcuCfWMnmhNbtkTjcgLHqfp4WQ=,vCAKMIcYvcztAdB75aG3tTUS1rk=,52177,9879,741,Thu Sep 20 21:52:06 +0000 2012,389
2022-05-19 20:43:50.000000 UTC,it,bCu3ozBxBQBjL71z4Kpugie6Ffo=,GZJHa2iusuQduw33lhq7mN0dpEM=,7186,190,384,Sat Apr 28 21:37:10 +0000 2012,1736
2022-05-19 20:43:52.000000 UTC,it,YLliJTlHbp5L91eDWTpG6rQ1szs=,j3iSuvyr0uFq9IB4hzq4qKA1Ygo=,72395,175,31,Fri Oct 25 00:26:58 +0000 2019,85
2022-05-19 20:43:53.000000 UTC,it,HRiRsJsxFzr8LKc+y5zUYuBeThs=,hydOn54CzLG59P9xH67Zn0O6L1g=,79283,593,5852,Fri Sep 18 14:29:38 +0000 2009,2185
2022-05-19 20:43:54.000000 UTC,it,VnR4aldcM1XWgm3TBpReUvZj1DA=,J4SP0Yk0sVMjWkkMXNmhC2Hqb+s=,27774,28925,1474,Thu Mar 12 03:10:48 +0000 2020,1406
2022-05-19 20:43:59.000000 UTC,it,QnLBlMyiGS0IgKd6Kg+z1ZcQSOY=,/d7cP4qZN4ZcFZ5rCMmnWni0cDg=,45601,89,329,Thu Sep 11 19:54:03 +0000 2014,2957
2022-05-19 20:44:02.000000 UTC,it,5m+2Pte6LufFaEEOqQacBoUUE8M=,XT0BY7ht7nmd7NaVcawUkzIMRDk=,103894,97474,5072,Thu Sep 12 20:41:53 +0000 2019,2430
2022-05-19 20:44:04.000000 UTC,it,23uTFe2hX6a5gWt734jWuNxsxx0=,XYfR/xx2zWmsuZN5OSJnluSSDOU=,235630,2224,2216,Tue Jul 17 21:46:43 +0000 2012,876
2022-05-19 20:44:04.000000 UTC,it,ECUCWgJdgkHiX1562MxBCo3XSJs=,XzKsjITGhcEO+LeP1fHS9sBne+g=,198674,17388,2125,Tue Nov 25 20:02:59 +0000 2008,497
2022-05-19 20:44:05.000000 UTC,it,8V5qxyXHraRBOh5PGm/R2Ad0KJY=,4KfSrVEx5qfgX/RbNUPxeFL12KI=,22567,1118,17165,Thu Jan 23 09:42:25 +0000 2014,1011
2022-05-19 20:44:09.000000 UTC,it,Y1Rl5UimWmR1P6mgiaVlF5YIdMk=,mqtYL+gd+AxyyCibqq6hYqYoA5g=,122486,0,37,Sun Mar 08 22:46:05 +0000 2020,0
2022-05-19 20:44:12.000000 UTC,it,3Bfc8FHDxoAKHvcZgAUS04C7148=,EjqJb9QawhOpe9/c2sdjj6VbVyM=,145284,211052,549,Sat May 04 15:53:15 +0000 2013,858
2022-05-19 20:44:16.000000 UTC,it,o28VlJ87QK+O0567wFnJA9eyq7o=,TvmdoSw7TFSfOfxcqnLzgM2rAlA=,2894,5,862,Sun Oct 03 10:40:39 +0000 2021,736
2022-05-19 20:44:18.000000 UTC,it,4RM15Y81F+wHb26NybxgjUZKJ/g=,2I/7jJjRI3EtCwbsBA9G2ZuWlxI=,18618,105,640,Fri Aug 20 18:18:47 +0000 2021,1037
2022-05-19 20:44:18.000000 UTC,it,JKZeUr4tNAObhKdXDD98nolkk5Q=,6D0GwmZnN8v3faHRbSyknkC4z+Y=,58759,97231,5479,Wed Oct 11 09:11:42 +0000 2017,2193
2022-05-19 20:44:33.000000 UTC,it,8BxgmkoJYYWXySjAsFwe1U+Q8h0=,PWN1TFkEkvdCx2VKFjSPUdbVg2g=,259964,186255,3260,Thu Apr 15 22:55:52 +0000 2010,2957
2022-05-19 20:44:34.000000 UTC,it,ayy6aQAQcxYb6V+dM60Yxa2wqow=,+zrLIz9h99L54PNIRd4RqBAs44U=,227214,82268,1264,Wed Aug 19 08:48:36 +0000 2015,280
2022-05-19 20:44:36.000000 UTC,it,no0fdz825dvxeMK7W8IsV0G1Id4=,n8SlIPA2rzr6yoUoeUxJoqq9Jq8=,49105,79,7228,Thu Dec 15 13:14:39 +0000 2011,6140
2022-05-19 20:44:36.000000 UTC,it,tGEN+M193vpe67yNgaVmF/T+ZKQ=,RPhYU7tuCpPE9Q5laZxlDCIngKU=,75307,161914,433,Thu Apr 16 11:18:41 +0000 2015,180
